gene,eps,pan_cancer_cluster_number,pan_cancer_distribution,TNBC_distribution,cluster_combination,TNBC_distribution_in_this_cluster,centroid_distance,cluster_separation,total_TNBC_dist_in_cluster
EHD2,0.1699999999999999,3,"{'-1': 858, '1': 495, '0': 320}","{'-1': 16, '1': 9, '0': 5}","(0, 1)","{0: 5, 1: 9}",4.963793834873333,2.065170438941281,14
EHD2,0.1999999999999999,4,"{'-1': 639, '1': 607, '0': 371, '2': 56}","{'1': 12, '-1': 11, '0': 6, '2': 1}","(0, 1)","{0: 6, 1: 12}",4.92463791038587,1.5642310591370694,18
EHD2,0.1899999999999999,3,"{'-1': 722, '1': 585, '0': 366}","{'1': 12, '-1': 12, '0': 6}","(0, 1)","{0: 6, 1: 12}",4.908695646645422,1.5642310591370694,18
PRSS22,0.2499999999999999,3,"{'0': 1031, '1': 336, '-1': 306}","{'0': 12, '1': 10, '-1': 8}","(0, 1)","{0: 12, 1: 10}",4.804613543357273,1.3168212044542735,22
PRSS22,0.2599999999999999,3,"{'0': 1036, '1': 350, '-1': 287}","{'1': 12, '0': 12, '-1': 6}","(0, 1)","{0: 12, 1: 12}",4.792792337207815,1.181771244290421,24
PRSS22,0.2399999999999999,3,"{'0': 1021, '-1': 339, '1': 313}","{'0': 12, '1': 10, '-1': 8}","(0, 1)","{0: 12, 1: 10}",4.766034083043915,1.3846638502353246,22
NLRP2,0.2099999999999999,3,"{'0': 992, '-1': 552, '1': 129}","{'0': 16, '-1': 11, '1': 3}","(0, 1)","{0: 16, 1: 3}",4.66252138966415,2.732535441746437,19
BCAT1,0.1799999999999999,7,"{'-1': 775, '1': 398, '0': 373, '3': 61, '2': 32, '4': 24, '5': 10}","{'-1': 17, '0': 7, '3': 3, '1': 2, '2': 1}","(0, 3)","{0: 7, 3: 3}",4.662089408240678,3.1276761539154156,10
NLRP2,0.2199999999999999,3,"{'0': 992, '-1': 498, '1': 183}","{'0': 16, '-1': 11, '1': 3}","(0, 1)","{0: 16, 1: 3}",4.580824724131837,2.465604905938016,19
BCAT1,0.1899999999999999,3,"{'-1': 654, '1': 630, '0': 389}","{'-1': 14, '0': 9, '1': 7}","(0, 1)","{0: 9, 1: 7}",4.5375412899421494,1.4630846736859526,16
