gene,eps,pan_cancer_cluster_number,pan_cancer_distribution,TNBC_distribution,cluster_combination,TNBC_distribution_in_this_cluster,centroid_distance,cluster_separation,tnbc_cluster_proportion
MRC2,0.1899999999999999,4,"{'-1': 843, '0': 405, '1': 340, '2': 85}","{'-1': 18, '1': 7, '0': 4, '2': 1}","(0, 1)","{0: 4, 1: 7}",3.9767667463539182,1.1996376650839349,0.23333333333333334
VSIR,0.1799999999999999,5,"{'-1': 959, '1': 397, '0': 236, '3': 43, '2': 38}","{'-1': 15, '1': 8, '0': 4, '3': 3}","(0, 1)","{0: 4, 1: 8}",3.9399849623919048,1.658832397347516,0.26666666666666666
GRB10,0.2099999999999999,4,"{'0': 836, '-1': 611, '1': 207, '2': 19}","{'0': 14, '-1': 12, '1': 3, '2': 1}","(0, 1)","{0: 14, 1: 3}",3.9346327142622055,1.1851114052569884,0.4666666666666667
ARHGEF5,0.1499999999999999,3,"{'-1': 995, '0': 364, '1': 314}","{'-1': 20, '0': 6, '1': 4}","(0, 1)","{0: 6, 1: 4}",3.921045916689588,2.4052031391742683,0.2
SLC2A3,0.1799999999999999,5,"{'-1': 934, '0': 370, '1': 292, '2': 46, '3': 31}","{'0': 13, '-1': 12, '1': 4, '3': 1}","(0, 1)","{0: 13, 1: 4}",3.9187555057161303,1.3367250968154425,0.43333333333333335
ARHGEF5,0.1799999999999999,3,"{'-1': 773, '1': 469, '0': 431}","{'-1': 15, '1': 9, '0': 6}","(0, 1)","{0: 6, 1: 9}",3.9136802235846058,2.0182622063927287,0.3
KITLG,0.1599999999999999,7,"{'-1': 1026, '3': 232, '1': 215, '2': 103, '0': 48, '5': 37, '4': 12}","{'-1': 16, '3': 8, '1': 3, '2': 3}","(1, 3)","{1: 3, 3: 8}",3.898009064713289,2.1753670865105605,0.26666666666666666
ARHGEF5,0.1599999999999999,3,"{'-1': 933, '0': 376, '1': 364}","{'-1': 19, '0': 6, '1': 5}","(0, 1)","{0: 6, 1: 5}",3.897887124730536,2.276190415891297,0.2
GNA15,0.2499999999999999,3,"{'0': 1007, '-1': 391, '1': 275}","{'0': 16, '-1': 9, '1': 5}","(0, 1)","{0: 16, 1: 5}",3.896859443751936,1.458270495805294,0.5333333333333333
GRB10,0.2199999999999999,3,"{'0': 887, '-1': 572, '1': 214}","{'0': 17, '-1': 10, '1': 3}","(0, 1)","{0: 17, 1: 3}",3.893925858899722,1.0370469867553205,0.5666666666666667
ARHGEF5,0.1699999999999999,4,"{'-1': 832, '1': 427, '0': 396, '2': 18}","{'-1': 17, '1': 7, '0': 6}","(0, 1)","{0: 6, 1: 7}",3.892121292037865,2.036758550010118,0.23333333333333334
GNB4,0.1799999999999999,3,"{'-1': 901, '0': 522, '1': 250}","{'-1': 16, '0': 11, '1': 3}","(0, 1)","{0: 11, 1: 3}",3.883904141800935,1.928741316830178,0.36666666666666664
ARHGEF5,0.1899999999999999,4,"{'-1': 694, '1': 513, '0': 438, '2': 28}","{'-1': 12, '1': 11, '0': 6, '2': 1}","(0, 1)","{0: 6, 1: 11}",3.870088918603654,1.7921951148865984,0.36666666666666664
GNA15,0.2399999999999999,3,"{'0': 1000, '-1': 425, '1': 248}","{'0': 15, '-1': 10, '1': 5}","(0, 1)","{0: 15, 1: 5}",3.8672927046896226,1.5573502695132964,0.5
GNB4,0.1899999999999999,3,"{'-1': 812, '0': 608, '1': 253}","{'-1': 16, '0': 11, '1': 3}","(0, 1)","{0: 11, 1: 3}",3.863883328391057,1.6883556499415842,0.36666666666666664
ARHGEF5,0.1999999999999999,4,"{'-1': 642, '1': 531, '0': 442, '2': 58}","{'1': 13, '-1': 10, '0': 6, '2': 1}","(0, 1)","{0: 6, 1: 13}",3.8622874299576417,1.7768743156028424,0.43333333333333335
INPP4B,0.1799999999999999,4,"{'-1': 1073, '1': 260, '2': 253, '0': 87}","{'-1': 18, '1': 5, '0': 4, '2': 3}","(0, 2)","{0: 4, 2: 3}",3.855730694780852,2.7932044337145703,0.13333333333333333
INPP4B,0.1699999999999999,5,"{'-1': 1147, '1': 244, '2': 189, '0': 75, '3': 18}","{'-1': 22, '0': 4, '1': 3, '2': 1}","(0, 1)","{0: 4, 1: 3}",3.855565854428185,2.8489922119003177,0.13333333333333333
GNB4,0.1999999999999999,3,"{'-1': 728, '0': 684, '1': 261}","{'0': 14, '-1': 13, '1': 3}","(0, 1)","{0: 14, 1: 3}",3.8518380534501673,1.6371303265864112,0.4666666666666667
MDFI,0.1799999999999999,3,"{'-1': 777, '0': 689, '1': 207}","{'-1': 13, '0': 10, '1': 7}","(0, 1)","{0: 10, 1: 7}",3.8473545719966977,1.885471611973613,0.3333333333333333
FERMT1,0.1899999999999999,7,"{'-1': 800, '0': 469, '1': 255, '2': 49, '3': 44, '4': 33, '5': 23}","{'-1': 17, '0': 5, '1': 4, '2': 3, '3': 1}","(0, 1)","{0: 5, 1: 4}",3.843150296756862,1.506959988719883,0.16666666666666666
PYCARD,0.1699999999999999,4,"{'-1': 1047, '1': 370, '2': 134, '0': 122}","{'-1': 19, '1': 7, '0': 3, '2': 1}","(0, 1)","{0: 3, 1: 7}",3.84108698040434,2.168367856077018,0.23333333333333334
FGFR2,0.1999999999999999,6,"{'0': 778, '-1': 673, '1': 78, '3': 59, '2': 55, '4': 30}","{'-1': 15, '0': 10, '1': 3, '3': 2}","(0, 1)","{0: 10, 1: 3}",3.833519594015839,1.9312872499159857,0.3333333333333333
FGFR2,0.1899999999999999,5,"{'0': 766, '-1': 750, '1': 66, '3': 57, '2': 34}","{'-1': 15, '0': 10, '1': 3, '3': 2}","(0, 1)","{0: 10, 1: 3}",3.8172438659755112,2.162271428898877,0.3333333333333333
VSIR,0.1899999999999999,4,"{'-1': 849, '1': 469, '0': 305, '2': 50}","{'-1': 15, '1': 10, '0': 4, '2': 1}","(0, 1)","{0: 4, 1: 10}",3.815371546152486,1.1271119179033389,0.3333333333333333
MDFI,0.1899999999999999,3,"{'0': 699, '-1': 686, '1': 288}","{'-1': 12, '0': 10, '1': 8}","(0, 1)","{0: 10, 1: 8}",3.811987235732676,1.605523823203473,0.3333333333333333
GNA15,0.2299999999999999,3,"{'0': 991, '-1': 477, '1': 205}","{'0': 14, '-1': 13, '1': 3}","(0, 1)","{0: 14, 1: 3}",3.8025750056884178,1.8311688609505936,0.4666666666666667
GNB4,0.2099999999999999,3,"{'0': 763, '-1': 640, '1': 270}","{'0': 15, '-1': 12, '1': 3}","(0, 1)","{0: 15, 1: 3}",3.7963512666927985,1.401250547548768,0.5
PKP2,0.1699999999999999,4,"{'-1': 972, '0': 450, '1': 233, '2': 18}","{'-1': 19, '1': 6, '0': 5}","(0, 1)","{0: 5, 1: 6}",3.7914927937220417,2.0469044645905696,0.2
TMEM98,0.1799999999999999,6,"{'-1': 839, '1': 377, '0': 226, '3': 133, '2': 74, '4': 24}","{'1': 14, '-1': 11, '3': 3, '2': 1, '0': 1}","(1, 3)","{1: 14, 3: 3}",3.79056699306803,2.16533773194666,0.4666666666666667
GNA15,0.2199999999999999,3,"{'0': 976, '-1': 532, '1': 165}","{'0': 14, '-1': 13, '1': 3}","(0, 1)","{0: 14, 1: 3}",3.780469042463944,2.063325935368829,0.4666666666666667
MDFI,0.1999999999999999,3,"{'0': 715, '-1': 614, '1': 344}","{'-1': 10, '0': 10, '1': 10}","(0, 1)","{0: 10, 1: 10}",3.779371859975773,1.3472998845956738,0.3333333333333333
PTPRU,0.1999999999999999,6,"{'-1': 835, '0': 481, '1': 155, '2': 139, '3': 38, '4': 25}","{'-1': 13, '0': 11, '1': 3, '2': 1, '4': 1, '3': 1}","(0, 1)","{0: 11, 1: 3}",3.7552455517377976,1.6809315592518783,0.36666666666666664
GNB4,0.2199999999999999,3,"{'0': 817, '-1': 585, '1': 271}","{'0': 15, '-1': 12, '1': 3}","(0, 1)","{0: 15, 1: 3}",3.749373198838635,1.257797757467647,0.5
MDFI,0.2099999999999999,3,"{'0': 723, '-1': 579, '1': 371}","{'0': 11, '1': 10, '-1': 9}","(0, 1)","{0: 11, 1: 10}",3.734822000048739,1.1279527309669966,0.36666666666666664
LXN,0.1799999999999999,3,"{'-1': 831, '1': 524, '0': 318}","{'-1': 17, '1': 9, '0': 4}","(0, 1)","{0: 4, 1: 9}",3.734612770652393,1.5877236403982131,0.3
GNB4,0.2299999999999999,3,"{'0': 843, '-1': 555, '1': 275}","{'0': 15, '-1': 12, '1': 3}","(0, 1)","{0: 15, 1: 3}",3.734131521575239,1.0076535725434357,0.5
GNB4,0.1699999999999999,4,"{'-1': 1047, '0': 320, '1': 242, '2': 64}","{'-1': 21, '0': 6, '1': 3}","(0, 1)","{0: 6, 1: 3}",3.729609193297873,2.3293551127874315,0.2
BIRC3,0.1799999999999999,7,"{'-1': 973, '0': 377, '1': 111, '3': 84, '5': 52, '2': 41, '4': 35}","{'-1': 18, '1': 5, '0': 3, '4': 2, '5': 1, '3': 1}","(0, 1)","{0: 3, 1: 5}",3.71650110416728,1.6513049955498529,0.16666666666666666
PRKCZ,0.1999999999999999,4,"{'-1': 863, '0': 718, '2': 46, '1': 46}","{'0': 15, '-1': 12, '1': 3}","(0, 1)","{0: 15, 1: 3}",3.7018978502939,1.8452304722635744,0.5
