,Unnamed: 0,gene,eps,pan_cancer_cluster_number,pan_cancer_distribution,TNBC_distribution,cluster_combination,TNBC_distribution_in_this_cluster,centroid_distance,cluster_separation
475424,4352,BCAT1,0.1899999999999999,3,"{'-1': 654, '1': 630, '0': 389}","{'-1': 14, '0': 9, '1': 7}","(0, 1)","{0: 9, 1: 7}",4.5375412899421494,1.4630846736859526
475427,4355,BCAT1,0.1999999999999999,3,"{'1': 670, '-1': 603, '0': 400}","{'-1': 12, '0': 9, '1': 9}","(0, 1)","{0: 9, 1: 9}",4.48607528731376,1.278754863955561
475430,4358,BCAT1,0.2099999999999999,3,"{'1': 697, '-1': 569, '0': 407}","{'-1': 12, '0': 9, '1': 9}","(0, 1)","{0: 9, 1: 9}",4.488526158175847,1.0555415634840852
476834,1721,CDH3,0.1899999999999999,4,"{'0': 802, '-1': 721, '1': 120, '2': 30}","{'-1': 20, '0': 7, '1': 3}","(0, 1)","{0: 7, 1: 3}",5.044000053818988,2.61031807499805
476840,1727,CDH3,0.1999999999999999,4,"{'0': 813, '-1': 674, '1': 137, '2': 49}","{'-1': 18, '0': 7, '1': 5}","(0, 1)","{0: 7, 1: 5}",5.05178378356725,2.492138467716401
476846,1733,CDH3,0.2099999999999999,3,"{'0': 823, '-1': 620, '1': 230}","{'-1': 18, '0': 7, '1': 5}","(0, 1)","{0: 7, 1: 5}",5.640132955531128,2.404927471634003
476849,1736,CDH3,0.2199999999999999,3,"{'0': 828, '-1': 568, '1': 277}","{'-1': 17, '0': 8, '1': 5}","(0, 1)","{0: 8, 1: 5}",5.5195708037864435,2.3616742736801184
476852,1739,CDH3,0.2299999999999999,3,"{'0': 842, '-1': 508, '1': 323}","{'-1': 14, '1': 8, '0': 8}","(0, 1)","{0: 8, 1: 8}",5.599097898321555,1.9412243276376413
476855,1742,CDH3,0.2399999999999999,3,"{'0': 853, '-1': 478, '1': 342}","{'-1': 12, '1': 10, '0': 8}","(0, 1)","{0: 8, 1: 10}",5.58019421049279,1.7579615266581758
481119,2052,LIMCH1,0.1799999999999999,6,"{'-1': 898, '1': 382, '0': 228, '2': 83, '3': 42, '4': 40}","{'-1': 19, '0': 6, '1': 3, '4': 1, '2': 1}","(0, 1)","{0: 6, 1: 3}",4.864006671279739,2.8323513936466735
488405,2767,ERBB3,0.1699999999999999,3,"{'-1': 904, '0': 558, '1': 211}","{'-1': 23, '0': 4, '1': 3}","(0, 1)","{0: 4, 1: 3}",5.1316812492304384,2.7195789619691633
488408,2770,ERBB3,0.1799999999999999,4,"{'-1': 758, '0': 603, '1': 292, '2': 20}","{'-1': 16, '1': 8, '0': 6}","(0, 1)","{0: 6, 1: 8}",5.069897930153617,2.2894216703323647
488414,2776,ERBB3,0.1899999999999999,4,"{'-1': 640, '0': 620, '1': 368, '2': 45}","{'-1': 12, '1': 9, '0': 8, '2': 1}","(0, 1)","{0: 8, 1: 9}",4.9640330654999145,1.413210146227837
490665,750,GSTO2,0.1899999999999999,4,"{'-1': 749, '0': 684, '1': 209, '2': 31}","{'-1': 18, '0': 8, '1': 4}","(0, 1)","{0: 8, 1: 4}",3.65423670134878,1.6303779590859515
490671,756,GSTO2,0.1999999999999999,5,"{'0': 708, '-1': 642, '1': 273, '2': 28, '3': 22}","{'-1': 14, '0': 8, '1': 5, '3': 2, '2': 1}","(0, 1)","{0: 8, 1: 5}",3.588290197389059,1.539102806952791
490681,766,GSTO2,0.2099999999999999,3,"{'0': 769, '-1': 578, '1': 326}","{'1': 11, '-1': 10, '0': 9}","(0, 1)","{0: 9, 1: 11}",3.5549621560800952,1.3655059134289669
495087,1537,FGFR2,0.1899999999999999,5,"{'0': 766, '-1': 750, '1': 66, '3': 57, '2': 34}","{'-1': 15, '0': 10, '1': 3, '3': 2}","(0, 1)","{0: 10, 1: 3}",3.8172438659755112,2.162271428898877
495097,1547,FGFR2,0.1999999999999999,6,"{'0': 778, '-1': 673, '1': 78, '3': 59, '2': 55, '4': 30}","{'-1': 15, '0': 10, '1': 3, '3': 2}","(0, 1)","{0: 10, 1: 3}",3.833519594015839,1.9312872499159857
499603,2122,TRO,0.2199999999999999,3,"{'0': 850, '-1': 647, '1': 176}","{'0': 20, '-1': 6, '1': 4}","(0, 1)","{0: 20, 1: 4}",3.1951677530586537,1.3098552625867872
500217,2736,PRKCZ,0.1999999999999999,4,"{'-1': 863, '0': 718, '2': 46, '1': 46}","{'0': 15, '-1': 12, '1': 3}","(0, 1)","{0: 15, 1: 3}",3.7018978502939,1.8452304722635744
500223,2742,PRKCZ,0.2099999999999999,5,"{'-1': 789, '0': 745, '2': 58, '1': 51, '3': 30}","{'0': 15, '-1': 12, '1': 3}","(0, 1)","{0: 15, 1: 3}",3.6545828703618706,1.6734991753228137
500233,2752,PRKCZ,0.2199999999999999,5,"{'0': 796, '-1': 708, '1': 66, '2': 62, '3': 41}","{'0': 17, '-1': 10, '1': 3}","(0, 1)","{0: 17, 1: 3}",3.635564915571755,1.4656635723488118
500243,2762,PRKCZ,0.2299999999999999,5,"{'0': 825, '-1': 620, '1': 164, '2': 43, '3': 21}","{'0': 17, '-1': 10, '1': 3}","(0, 1)","{0: 17, 1: 3}",3.650456026566154,1.2815138264414545
510854,3619,DAPP1,0.2299999999999999,5,"{'0': 884, '-1': 593, '1': 134, '3': 32, '2': 30}","{'0': 17, '-1': 7, '1': 5, '2': 1}","(0, 1)","{0: 17, 1: 5}",3.498537946439569,1.6397700590698083
510864,3629,DAPP1,0.2399999999999999,5,"{'0': 891, '-1': 559, '1': 156, '2': 37, '3': 30}","{'0': 17, '-1': 6, '1': 6, '2': 1}","(0, 1)","{0: 17, 1: 6}",3.5137082603600573,1.4607557995846796
510874,3639,DAPP1,0.2499999999999999,5,"{'0': 935, '-1': 478, '1': 184, '2': 46, '3': 30}","{'0': 17, '1': 7, '-1': 5, '2': 1}","(0, 1)","{0: 17, 1: 7}",3.4784464907088393,1.3088192158342624
510884,3649,DAPP1,0.2599999999999999,6,"{'0': 947, '-1': 398, '1': 229, '2': 55, '3': 30, '4': 14}","{'0': 17, '1': 7, '-1': 3, '2': 2, '4': 1}","(0, 1)","{0: 17, 1: 7}",3.5254640711512173,1.0517614276897416
518621,43,CYBRD1,0.1999999999999999,3,"{'-1': 727, '1': 668, '0': 278}","{'1': 16, '-1': 11, '0': 3}","(0, 1)","{0: 3, 1: 16}",4.333687827551519,1.1684536142256443
518624,46,CYBRD1,0.2099999999999999,3,"{'1': 709, '-1': 677, '0': 287}","{'1': 17, '-1': 10, '0': 3}","(0, 1)","{0: 3, 1: 17}",4.353879574611578,1.1100894517116555
518627,49,CYBRD1,0.2199999999999999,3,"{'1': 733, '-1': 640, '0': 300}","{'1': 17, '-1': 10, '0': 3}","(0, 1)","{0: 3, 1: 17}",4.332433677029808,1.027136129937514
529716,3904,PPP2R2C,0.2299999999999999,4,"{'0': 932, '-1': 535, '2': 143, '1': 63}","{'-1': 15, '0': 12, '2': 3}","(0, 2)","{0: 12, 2: 3}",3.645186337623988,1.2085402261901534
530970,628,MGLL,0.1999999999999999,3,"{'-1': 742, '0': 705, '1': 226}","{'-1': 14, '0': 13, '1': 3}","(0, 1)","{0: 13, 1: 3}",4.437690152185291,1.175961391172981
530973,631,MGLL,0.2099999999999999,3,"{'0': 738, '-1': 690, '1': 245}","{'0': 14, '-1': 13, '1': 3}","(0, 1)","{0: 14, 1: 3}",4.4073161030159484,1.108813487138925
548038,2790,FGFR1,0.1899999999999999,6,"{'-1': 846, '0': 596, '1': 129, '4': 44, '2': 40, '3': 18}","{'-1': 14, '0': 12, '4': 3, '1': 1}","(0, 4)","{0: 12, 4: 3}",4.739991266238801,1.6822597020760717
548050,2802,FGFR1,0.1999999999999999,4,"{'-1': 750, '0': 676, '1': 188, '2': 59}","{'0': 15, '-1': 11, '1': 4}","(0, 1)","{0: 15, 1: 4}",4.708792812997327,1.224759435880364
555165,2109,LXN,0.1599999999999999,3,"{'-1': 1071, '1': 461, '0': 141}","{'-1': 20, '1': 7, '0': 3}","(0, 1)","{0: 3, 1: 7}",3.4473274255391004,2.09456300153298
555168,2112,LXN,0.1699999999999999,6,"{'-1': 930, '1': 482, '0': 168, '2': 41, '4': 27, '3': 25}","{'-1': 20, '1': 7, '0': 3}","(0, 1)","{0: 3, 1: 7}",3.4548740603433834,1.9347696281839553
555183,2127,LXN,0.1799999999999999,3,"{'-1': 831, '1': 524, '0': 318}","{'-1': 17, '1': 9, '0': 4}","(0, 1)","{0: 4, 1: 9}",3.734612770652393,1.5877236403982131
555186,2130,LXN,0.1899999999999999,3,"{'-1': 769, '1': 527, '0': 377}","{'-1': 16, '1': 9, '0': 5}","(0, 1)","{0: 5, 1: 9}",3.629512155161234,1.3740401274066527
555189,2133,LXN,0.1999999999999999,4,"{'-1': 705, '1': 535, '0': 416, '2': 17}","{'-1': 14, '1': 9, '0': 6, '2': 1}","(0, 1)","{0: 6, 1: 9}",3.6127165658131366,1.338047760250639
