,Unnamed: 0,gene,eps,pan_cancer_cluster_number,pan_cancer_distribution,TNBC_distribution,cluster_combination,TNBC_distribution_in_this_cluster,centroid_distance,cluster_separation
328117,2860,CYBA,0.2899999999999999,3,"{'0': 1184, '-1': 266, '1': 223}","{'0': 20, '-1': 5, '1': 5}","(0, 1)","{0: 20, 1: 5}",6.722685905890222,1.148981741469814
328874,3617,PRSS8,0.1799999999999999,3,"{'0': 946, '-1': 557, '1': 170}","{'-1': 17, '0': 9, '1': 4}","(0, 1)","{0: 9, 1: 4}",5.904920621091318,3.783980413683795
328877,3620,PRSS8,0.1899999999999999,3,"{'0': 956, '-1': 497, '1': 220}","{'-1': 12, '0': 10, '1': 8}","(0, 1)","{0: 10, 1: 8}",5.884650357238248,3.513393564958201
328880,3623,PRSS8,0.1999999999999999,3,"{'0': 958, '-1': 468, '1': 247}","{'-1': 11, '0': 10, '1': 9}","(0, 1)","{0: 10, 1: 9}",5.873008897789308,3.218423519133502
328883,3626,PRSS8,0.2099999999999999,3,"{'0': 960, '-1': 443, '1': 270}","{'-1': 11, '0': 10, '1': 9}","(0, 1)","{0: 10, 1: 9}",5.916542611799771,3.070389327891398
328886,3629,PRSS8,0.2199999999999999,3,"{'0': 968, '-1': 413, '1': 292}","{'1': 11, '0': 10, '-1': 9}","(0, 1)","{0: 10, 1: 11}",5.905598658736917,2.8004222078957195
328889,3632,PRSS8,0.2299999999999999,3,"{'0': 973, '-1': 380, '1': 320}","{'1': 11, '0': 10, '-1': 9}","(0, 1)","{0: 10, 1: 11}",5.823107066257655,2.3496129718245222
328892,3635,PRSS8,0.2399999999999999,3,"{'0': 986, '-1': 347, '1': 340}","{'1': 13, '0': 10, '-1': 7}","(0, 1)","{0: 10, 1: 13}",5.8051573941986145,2.3496129718245222
328895,3638,PRSS8,0.2499999999999999,3,"{'0': 989, '1': 351, '-1': 333}","{'1': 14, '0': 10, '-1': 6}","(0, 1)","{0: 10, 1: 14}",5.784342373533858,2.14418358898575
328898,3641,PRSS8,0.2599999999999999,3,"{'0': 990, '1': 359, '-1': 324}","{'1': 14, '0': 10, '-1': 6}","(0, 1)","{0: 10, 1: 14}",5.788166032354752,2.14418358898575
328901,3644,PRSS8,0.2699999999999999,3,"{'0': 998, '1': 379, '-1': 296}","{'1': 14, '0': 10, '-1': 6}","(0, 1)","{0: 10, 1: 14}",5.742657398337582,2.0646011755299902
328904,3647,PRSS8,0.2799999999999999,3,"{'0': 1021, '1': 385, '-1': 267}","{'1': 14, '0': 11, '-1': 5}","(0, 1)","{0: 11, 1: 14}",5.724624779047063,1.688183221079926
328907,3650,PRSS8,0.2899999999999999,3,"{'0': 1021, '1': 399, '-1': 253}","{'1': 14, '0': 11, '-1': 5}","(0, 1)","{0: 11, 1: 14}",5.7082619804039405,1.4817323436125
328910,3653,PRSS8,0.2999999999999999,3,"{'0': 1021, '1': 405, '-1': 247}","{'1': 14, '0': 11, '-1': 5}","(0, 1)","{0: 11, 1: 14}",5.683725002197024,1.3226658576448809
328913,3656,PRSS8,0.3099999999999999,3,"{'0': 1026, '1': 418, '-1': 229}","{'1': 14, '0': 11, '-1': 5}","(0, 1)","{0: 11, 1: 14}",5.6455911612468945,1.3226658576448809
328916,3659,PRSS8,0.3199999999999999,3,"{'0': 1030, '1': 426, '-1': 217}","{'1': 14, '0': 11, '-1': 5}","(0, 1)","{0: 11, 1: 14}",5.62699437373522,1.1066516257590442
328919,3662,PRSS8,0.3299999999999999,3,"{'0': 1035, '1': 431, '-1': 207}","{'1': 14, '0': 11, '-1': 5}","(0, 1)","{0: 11, 1: 14}",5.624628162014903,1.1066516257590442
330645,1431,LAMA3,0.1999999999999999,6,"{'-1': 649, '0': 506, '2': 283, '4': 109, '3': 75, '1': 51}","{'-1': 12, '0': 8, '4': 5, '2': 3, '1': 1, '3': 1}","(0, 2)","{0: 8, 2: 3}",4.552768847851815,1.668116186410319
337782,958,PKP2,0.1499999999999999,3,"{'-1': 1154, '0': 420, '1': 99}","{'-1': 21, '0': 5, '1': 4}","(0, 1)","{0: 5, 1: 4}",4.187384582899796,3.235888263820671
337785,961,PKP2,0.1599999999999999,4,"{'-1': 1053, '0': 434, '1': 114, '2': 72}","{'-1': 20, '0': 5, '1': 4, '2': 1}","(0, 1)","{0: 5, 1: 4}",4.177697341801816,3.143965774379632
337791,967,PKP2,0.1699999999999999,4,"{'-1': 972, '0': 450, '1': 233, '2': 18}","{'-1': 19, '1': 6, '0': 5}","(0, 1)","{0: 5, 1: 6}",3.7914927937220417,2.0469044645905696
337797,973,PKP2,0.1799999999999999,4,"{'-1': 878, '0': 463, '1': 302, '2': 30}","{'-1': 17, '1': 7, '0': 6}","(0, 1)","{0: 6, 1: 7}",3.649097614915547,1.7858751946471525
337803,979,PKP2,0.1899999999999999,4,"{'-1': 779, '0': 477, '1': 377, '2': 40}","{'-1': 15, '1': 8, '0': 6, '2': 1}","(0, 1)","{0: 6, 1: 8}",3.663451772182053,1.406424368974136
337809,985,PKP2,0.1999999999999999,4,"{'-1': 716, '0': 483, '1': 432, '2': 42}","{'-1': 14, '1': 9, '0': 6, '2': 1}","(0, 1)","{0: 6, 1: 9}",3.66408394703152,1.2918708610311829
339089,2510,LAMC2,0.1899999999999999,5,"{'0': 716, '-1': 697, '1': 188, '3': 37, '2': 35}","{'-1': 19, '0': 6, '1': 3, '3': 2}","(0, 1)","{0: 6, 1: 3}",6.2471633369748325,3.200049766693556
339099,2520,LAMC2,0.1999999999999999,4,"{'0': 736, '-1': 585, '1': 341, '2': 11}","{'-1': 17, '1': 7, '0': 6}","(0, 1)","{0: 6, 1: 7}",5.668048539395654,1.436487859150218
339105,2526,LAMC2,0.2099999999999999,3,"{'0': 761, '-1': 544, '1': 368}","{'-1': 15, '1': 8, '0': 7}","(0, 1)","{0: 7, 1: 8}",5.63371361999949,1.2364100237013051
339108,2529,LAMC2,0.2199999999999999,3,"{'0': 772, '-1': 480, '1': 421}","{'-1': 15, '1': 8, '0': 7}","(0, 1)","{0: 7, 1: 8}",5.51998000492392,1.1026460485412977
342235,1587,SLC2A3,0.1799999999999999,5,"{'-1': 934, '0': 370, '1': 292, '2': 46, '3': 31}","{'0': 13, '-1': 12, '1': 4, '3': 1}","(0, 1)","{0: 13, 1: 4}",3.9187555057161303,1.3367250968154425
